,game_id,posteam,total_passing_yards,total_rushing_yards,passing_attempts,rushing_attempts,sacks_allowed,interceptions_thrown,fumbles_lost,home_team,away_team,total_home_score,total_away_score
101,2024_01_CAR_NO,NO,199.0,180.0,25.0,37.0,1.0,0.0,0.0,NO,CAR,40,10
102,2024_01_CAR_NO,NO,199.0,180.0,25.0,37.0,1.0,0.0,0.0,NO,CAR,46,10
103,2024_01_CAR_NO,NO,199.0,180.0,25.0,37.0,1.0,0.0,0.0,NO,CAR,47,10
104,2024_01_DAL_CLE,CLE,137.0,93.0,51.0,19.0,6.0,2.0,0.0,CLE,DAL,0,0
105,2024_01_DAL_CLE,CLE,137.0,93.0,51.0,19.0,6.0,2.0,0.0,CLE,DAL,3,0
106,2024_01_DAL_CLE,CLE,137.0,93.0,51.0,19.0,6.0,2.0,0.0,CLE,DAL,3,6
107,2024_01_DAL_CLE,CLE,137.0,93.0,51.0,19.0,6.0,2.0,0.0,CLE,DAL,3,7
108,2024_01_DAL_CLE,CLE,137.0,93.0,51.0,19.0,6.0,2.0,0.0,CLE,DAL,3,13
109,2024_01_DAL_CLE,CLE,137.0,93.0,51.0,19.0,6.0,2.0,0.0,CLE,DAL,3,14
110,2024_01_DAL_CLE,CLE,137.0,93.0,51.0,19.0,6.0,2.0,0.0,CLE,DAL,3,17
111,2024_01_DAL_CLE,CLE,137.0,93.0,51.0,19.0,6.0,2.0,0.0,CLE,DAL,3,20
112,2024_01_DAL_CLE,CLE,137.0,93.0,51.0,19.0,6.0,2.0,0.0,CLE,DAL,3,26
113,2024_01_DAL_CLE,CLE,137.0,93.0,51.0,19.0,6.0,2.0,0.0,CLE,DAL,3,27
114,2024_01_DAL_CLE,CLE,137.0,93.0,51.0,19.0,6.0,2.0,0.0,CLE,DAL,9,27
115,2024_01_DAL_CLE,CLE,137.0,93.0,51.0,19.0,6.0,2.0,0.0,CLE,DAL,10,27
116,2024_01_DAL_CLE,CLE,137.0,93.0,51.0,19.0,6.0,2.0,0.0,CLE,DAL,10,30
117,2024_01_DAL_CLE,CLE,137.0,93.0,51.0,19.0,6.0,2.0,0.0,CLE,DAL,10,33
118,2024_01_DAL_CLE,CLE,137.0,93.0,51.0,19.0,6.0,2.0,0.0,CLE,DAL,16,33
119,2024_01_DAL_CLE,CLE,137.0,93.0,51.0,19.0,6.0,2.0,0.0,CLE,DAL,17,33
120,2024_01_DAL_CLE,DAL,163.0,103.0,35.0,25.0,3.0,0.0,0.0,CLE,DAL,0,0
121,2024_01_DAL_CLE,DAL,163.0,103.0,35.0,25.0,3.0,0.0,0.0,CLE,DAL,3,0
122,2024_01_DAL_CLE,DAL,163.0,103.0,35.0,25.0,3.0,0.0,0.0,CLE,DAL,3,6
123,2024_01_DAL_CLE,DAL,163.0,103.0,35.0,25.0,3.0,0.0,0.0,CLE,DAL,3,7
124,2024_01_DAL_CLE,DAL,163.0,103.0,35.0,25.0,3.0,0.0,0.0,CLE,DAL,3,13
125,2024_01_DAL_CLE,DAL,163.0,103.0,35.0,25.0,3.0,0.0,0.0,CLE,DAL,3,14
126,2024_01_DAL_CLE,DAL,163.0,103.0,35.0,25.0,3.0,0.0,0.0,CLE,DAL,3,17
127,2024_01_DAL_CLE,DAL,163.0,103.0,35.0,25.0,3.0,0.0,0.0,CLE,DAL,3,20
128,2024_01_DAL_CLE,DAL,163.0,103.0,35.0,25.0,3.0,0.0,0.0,CLE,DAL,3,26
129,2024_01_DAL_CLE,DAL,163.0,103.0,35.0,25.0,3.0,0.0,0.0,CLE,DAL,3,27
130,2024_01_DAL_CLE,DAL,163.0,103.0,35.0,25.0,3.0,0.0,0.0,CLE,DAL,9,27
131,2024_01_DAL_CLE,DAL,163.0,103.0,35.0,25.0,3.0,0.0,0.0,CLE,DAL,10,27
132,2024_01_DAL_CLE,DAL,163.0,103.0,35.0,25.0,3.0,0.0,0.0,CLE,DAL,10,30
133,2024_01_DAL_CLE,DAL,163.0,103.0,35.0,25.0,3.0,0.0,0.0,CLE,DAL,10,33
134,2024_01_DAL_CLE,DAL,163.0,103.0,35.0,25.0,3.0,0.0,0.0,CLE,DAL,16,33
135,2024_01_DAL_CLE,DAL,163.0,103.0,35.0,25.0,3.0,0.0,0.0,CLE,DAL,17,33
136,2024_01_DEN_SEA,DEN,132.0,99.0,44.0,25.0,2.0,2.0,2.0,SEA,DEN,0,0
137,2024_01_DEN_SEA,DEN,132.0,99.0,44.0,25.0,2.0,2.0,2.0,SEA,DEN,0,3
138,2024_01_DEN_SEA,DEN,132.0,99.0,44.0,25.0,2.0,2.0,2.0,SEA,DEN,3,3
139,2024_01_DEN_SEA,DEN,132.0,99.0,44.0,25.0,2.0,2.0,2.0,SEA,DEN,3,5
140,2024_01_DEN_SEA,DEN,132.0,99.0,44.0,25.0,2.0,2.0,2.0,SEA,DEN,3,8
141,2024_01_DEN_SEA,DEN,132.0,99.0,44.0,25.0,2.0,2.0,2.0,SEA,DEN,9,8
142,2024_01_DEN_SEA,DEN,132.0,99.0,44.0,25.0,2.0,2.0,2.0,SEA,DEN,9,10
143,2024_01_DEN_SEA,DEN,132.0,99.0,44.0,25.0,2.0,2.0,2.0,SEA,DEN,9,13
144,2024_01_DEN_SEA,DEN,132.0,99.0,44.0,25.0,2.0,2.0,2.0,SEA,DEN,15,13
145,2024_01_DEN_SEA,DEN,132.0,99.0,44.0,25.0,2.0,2.0,2.0,SEA,DEN,16,13
146,2024_01_DEN_SEA,DEN,132.0,99.0,44.0,25.0,2.0,2.0,2.0,SEA,DEN,19,13
147,2024_01_DEN_SEA,DEN,132.0,99.0,44.0,25.0,2.0,2.0,2.0,SEA,DEN,25,13
148,2024_01_DEN_SEA,DEN,132.0,99.0,44.0,25.0,2.0,2.0,2.0,SEA,DEN,26,13
149,2024_01_DEN_SEA,DEN,132.0,99.0,44.0,25.0,2.0,2.0,2.0,SEA,DEN,26,19
150,2024_01_DEN_SEA,DEN,132.0,99.0,44.0,25.0,2.0,2.0,2.0,SEA,DEN,26,20
151,2024_01_DEN_SEA,SEA,158.0,150.0,28.0,33.0,2.0,1.0,0.0,SEA,DEN,0,0
152,2024_01_DEN_SEA,SEA,158.0,150.0,28.0,33.0,2.0,1.0,0.0,SEA,DEN,0,3
153,2024_01_DEN_SEA,SEA,158.0,150.0,28.0,33.0,2.0,1.0,0.0,SEA,DEN,3,3
154,2024_01_DEN_SEA,SEA,158.0,150.0,28.0,33.0,2.0,1.0,0.0,SEA,DEN,3,5
155,2024_01_DEN_SEA,SEA,158.0,150.0,28.0,33.0,2.0,1.0,0.0,SEA,DEN,3,8
