,game_id,home_team,away_team,total_passing_yards,total_rushing_yards,passing_attempts,rushing_attempts,sacks_allowed,interceptions_thrown,fumbles_lost,total_home_score,total_away_score,home_win
168,2024_01_GB_PHI,PHI,GB,251.0,163.0,37.0,22.0,2.0,1.0,0.0,0,6,0
169,2024_01_GB_PHI,PHI,GB,251.0,163.0,37.0,22.0,2.0,1.0,0.0,6,6,0
170,2024_01_GB_PHI,PHI,GB,251.0,163.0,37.0,22.0,2.0,1.0,0.0,7,6,1
171,2024_01_GB_PHI,PHI,GB,251.0,163.0,37.0,22.0,2.0,1.0,0.0,7,12,0
172,2024_01_GB_PHI,PHI,GB,251.0,163.0,37.0,22.0,2.0,1.0,0.0,13,12,1
173,2024_01_GB_PHI,PHI,GB,251.0,163.0,37.0,22.0,2.0,1.0,0.0,14,12,1
174,2024_01_GB_PHI,PHI,GB,251.0,163.0,37.0,22.0,2.0,1.0,0.0,14,18,0
175,2024_01_GB_PHI,PHI,GB,251.0,163.0,37.0,22.0,2.0,1.0,0.0,14,19,0
176,2024_01_GB_PHI,PHI,GB,251.0,163.0,37.0,22.0,2.0,1.0,0.0,17,19,0
177,2024_01_GB_PHI,PHI,GB,251.0,163.0,37.0,22.0,2.0,1.0,0.0,23,19,1
178,2024_01_GB_PHI,PHI,GB,251.0,163.0,37.0,22.0,2.0,1.0,0.0,24,19,1
179,2024_01_GB_PHI,PHI,GB,251.0,163.0,37.0,22.0,2.0,1.0,0.0,24,25,0
180,2024_01_GB_PHI,PHI,GB,251.0,163.0,37.0,22.0,2.0,1.0,0.0,24,26,0
181,2024_01_GB_PHI,PHI,GB,251.0,163.0,37.0,22.0,2.0,1.0,0.0,30,26,1
182,2024_01_GB_PHI,PHI,GB,251.0,163.0,37.0,22.0,2.0,1.0,0.0,31,26,1
183,2024_01_GB_PHI,PHI,GB,251.0,163.0,37.0,22.0,2.0,1.0,0.0,31,29,1
184,2024_01_GB_PHI,PHI,GB,251.0,163.0,37.0,22.0,2.0,1.0,0.0,34,29,1
185,2024_01_GB_PHI,PHI,GB,266.0,144.0,36.0,38.0,2.0,2.0,1.0,0,0,0
186,2024_01_GB_PHI,PHI,GB,266.0,144.0,36.0,38.0,2.0,2.0,1.0,0,3,0
187,2024_01_GB_PHI,PHI,GB,266.0,144.0,36.0,38.0,2.0,2.0,1.0,0,6,0
188,2024_01_GB_PHI,PHI,GB,266.0,144.0,36.0,38.0,2.0,2.0,1.0,6,6,0
189,2024_01_GB_PHI,PHI,GB,266.0,144.0,36.0,38.0,2.0,2.0,1.0,7,6,1
190,2024_01_GB_PHI,PHI,GB,266.0,144.0,36.0,38.0,2.0,2.0,1.0,7,12,0
191,2024_01_GB_PHI,PHI,GB,266.0,144.0,36.0,38.0,2.0,2.0,1.0,13,12,1
192,2024_01_GB_PHI,PHI,GB,266.0,144.0,36.0,38.0,2.0,2.0,1.0,14,12,1
193,2024_01_GB_PHI,PHI,GB,266.0,144.0,36.0,38.0,2.0,2.0,1.0,14,18,0
194,2024_01_GB_PHI,PHI,GB,266.0,144.0,36.0,38.0,2.0,2.0,1.0,14,19,0
195,2024_01_GB_PHI,PHI,GB,266.0,144.0,36.0,38.0,2.0,2.0,1.0,17,19,0
196,2024_01_GB_PHI,PHI,GB,266.0,144.0,36.0,38.0,2.0,2.0,1.0,23,19,1
197,2024_01_GB_PHI,PHI,GB,266.0,144.0,36.0,38.0,2.0,2.0,1.0,24,19,1
198,2024_01_GB_PHI,PHI,GB,266.0,144.0,36.0,38.0,2.0,2.0,1.0,24,25,0
199,2024_01_GB_PHI,PHI,GB,266.0,144.0,36.0,38.0,2.0,2.0,1.0,24,26,0
200,2024_01_GB_PHI,PHI,GB,266.0,144.0,36.0,38.0,2.0,2.0,1.0,30,26,1
201,2024_01_GB_PHI,PHI,GB,266.0,144.0,36.0,38.0,2.0,2.0,1.0,31,26,1
202,2024_01_GB_PHI,PHI,GB,266.0,144.0,36.0,38.0,2.0,2.0,1.0,31,29,1
203,2024_01_GB_PHI,PHI,GB,266.0,144.0,36.0,38.0,2.0,2.0,1.0,34,29,1
204,2024_01_HOU_IND,IND,HOU,204.0,215.0,36.0,41.0,4.0,0.0,0.0,0,0,0
205,2024_01_HOU_IND,IND,HOU,204.0,215.0,36.0,41.0,4.0,0.0,0.0,0,3,0
206,2024_01_HOU_IND,IND,HOU,204.0,215.0,36.0,41.0,4.0,0.0,0.0,6,3,1
207,2024_01_HOU_IND,IND,HOU,204.0,215.0,36.0,41.0,4.0,0.0,0.0,7,3,1
208,2024_01_HOU_IND,IND,HOU,204.0,215.0,36.0,41.0,4.0,0.0,0.0,7,6,1
209,2024_01_HOU_IND,IND,HOU,204.0,215.0,36.0,41.0,4.0,0.0,0.0,7,12,0
210,2024_01_HOU_IND,IND,HOU,204.0,215.0,36.0,41.0,4.0,0.0,0.0,7,15,0
211,2024_01_HOU_IND,IND,HOU,204.0,215.0,36.0,41.0,4.0,0.0,0.0,13,15,0
212,2024_01_HOU_IND,IND,HOU,204.0,215.0,36.0,41.0,4.0,0.0,0.0,13,21,0
213,2024_01_HOU_IND,IND,HOU,204.0,215.0,36.0,41.0,4.0,0.0,0.0,13,22,0
214,2024_01_HOU_IND,IND,HOU,204.0,215.0,36.0,41.0,4.0,0.0,0.0,19,22,0
215,2024_01_HOU_IND,IND,HOU,204.0,215.0,36.0,41.0,4.0,0.0,0.0,20,22,0
216,2024_01_HOU_IND,IND,HOU,204.0,215.0,36.0,41.0,4.0,0.0,0.0,20,28,0
217,2024_01_HOU_IND,IND,HOU,204.0,215.0,36.0,41.0,4.0,0.0,0.0,20,29,0
218,2024_01_HOU_IND,IND,HOU,204.0,215.0,36.0,41.0,4.0,0.0,0.0,26,29,0
219,2024_01_HOU_IND,IND,HOU,204.0,215.0,36.0,41.0,4.0,0.0,0.0,27,29,0
220,2024_01_HOU_IND,IND,HOU,199.0,104.0,21.0,23.0,2.0,1.0,0.0,0,0,0
221,2024_01_HOU_IND,IND,HOU,199.0,104.0,21.0,23.0,2.0,1.0,0.0,0,3,0
222,2024_01_HOU_IND,IND,HOU,199.0,104.0,21.0,23.0,2.0,1.0,0.0,6,3,1
223,2024_01_HOU_IND,IND,HOU,199.0,104.0,21.0,23.0,2.0,1.0,0.0,7,3,1
224,2024_01_HOU_IND,IND,HOU,199.0,104.0,21.0,23.0,2.0,1.0,0.0,7,6,1
225,2024_01_HOU_IND,IND,HOU,199.0,104.0,21.0,23.0,2.0,1.0,0.0,7,12,0
226,2024_01_HOU_IND,IND,HOU,199.0,104.0,21.0,23.0,2.0,1.0,0.0,7,15,0
227,2024_01_HOU_IND,IND,HOU,199.0,104.0,21.0,23.0,2.0,1.0,0.0,13,15,0
228,2024_01_HOU_IND,IND,HOU,199.0,104.0,21.0,23.0,2.0,1.0,0.0,13,21,0
229,2024_01_HOU_IND,IND,HOU,199.0,104.0,21.0,23.0,2.0,1.0,0.0,13,22,0
230,2024_01_HOU_IND,IND,HOU,199.0,104.0,21.0,23.0,2.0,1.0,0.0,19,22,0
231,2024_01_HOU_IND,IND,HOU,199.0,104.0,21.0,23.0,2.0,1.0,0.0,20,22,0
232,2024_01_HOU_IND,IND,HOU,199.0,104.0,21.0,23.0,2.0,1.0,0.0,20,28,0
233,2024_01_HOU_IND,IND,HOU,199.0,104.0,21.0,23.0,2.0,1.0,0.0,20,29,0
234,2024_01_HOU_IND,IND,HOU,199.0,104.0,21.0,23.0,2.0,1.0,0.0,26,29,0
235,2024_01_HOU_IND,IND,HOU,199.0,104.0,21.0,23.0,2.0,1.0,0.0,27,29,0
236,2024_01_JAX_MIA,MIA,JAX,139.0,128.0,24.0,26.0,3.0,0.0,1.0,0,0,0
237,2024_01_JAX_MIA,MIA,JAX,139.0,128.0,24.0,26.0,3.0,0.0,1.0,0,6,0
238,2024_01_JAX_MIA,MIA,JAX,139.0,128.0,24.0,26.0,3.0,0.0,1.0,0,7,0
239,2024_01_JAX_MIA,MIA,JAX,139.0,128.0,24.0,26.0,3.0,0.0,1.0,0,13,0
240,2024_01_JAX_MIA,MIA,JAX,139.0,128.0,24.0,26.0,3.0,0.0,1.0,0,14,0
241,2024_01_JAX_MIA,MIA,JAX,139.0,128.0,24.0,26.0,3.0,0.0,1.0,6,14,0
242,2024_01_JAX_MIA,MIA,JAX,139.0,128.0,24.0,26.0,3.0,0.0,1.0,7,14,0
243,2024_01_JAX_MIA,MIA,JAX,139.0,128.0,24.0,26.0,3.0,0.0,1.0,7,17,0
244,2024_01_JAX_MIA,MIA,JAX,139.0,128.0,24.0,26.0,3.0,0.0,1.0,13,17,0
