game_id,rush_attempt,pass_attempt,sack,passing_yards,rushing_yards,home_team,away_team,total_home_score,total_away_score,is_home_team,win
2024_03_HOU_MIN,28.0,32.0,4.0,181.0,118.0,MIN,HOU,34,7,True,1
2024_03_JAX_BUF,29.0,31.0,0.0,266.0,122.0,BUF,JAX,47,10,True,1
2024_03_JAX_BUF,17.0,51.0,5.0,200.0,92.0,BUF,JAX,47,10,False,0
2024_03_KC_ATL,25.0,31.0,2.0,230.0,82.0,ATL,KC,17,22,True,0
2024_03_KC_ATL,33.0,39.0,0.0,217.0,128.0,ATL,KC,17,22,False,1
2024_03_LAC_PIT,20.0,25.0,5.0,149.0,61.0,PIT,LAC,20,10,False,0
2024_03_LAC_PIT,31.0,34.0,2.0,245.0,114.0,PIT,LAC,20,10,True,1
2024_03_MIA_SEA,18.0,38.0,6.0,186.0,65.0,SEA,MIA,24,3,False,0
2024_03_MIA_SEA,23.0,37.0,3.0,289.0,100.0,SEA,MIA,24,3,True,1
2024_03_NE_NYJ,15.0,33.0,7.0,120.0,78.0,NYJ,NE,24,3,False,0
2024_03_NE_NYJ,33.0,37.0,2.0,281.0,133.0,NYJ,NE,24,3,True,1
2024_03_NYG_CLE,18.0,46.0,8.0,196.0,69.0,CLE,NYG,15,21,True,0
2024_03_NYG_CLE,32.0,37.0,2.0,236.0,112.0,CLE,NYG,15,21,False,1
2024_03_PHI_NO,29.0,27.0,1.0,142.0,89.0,NO,PHI,12,15,True,0
2024_03_PHI_NO,26.0,42.0,4.0,311.0,172.0,NO,PHI,12,15,False,1
2024_03_SF_LA,26.0,29.0,3.0,221.0,98.0,LA,SF,27,24,True,1
2024_03_SF_LA,34.0,31.0,1.0,292.0,137.0,LA,SF,27,24,False,0
2024_03_WAS_CIN,20.0,41.0,2.0,324.0,124.0,CIN,WAS,33,38,True,0
2024_03_WAS_CIN,32.0,25.0,2.0,254.0,108.0,CIN,WAS,33,38,False,1
2024_04_BUF_BAL,34.0,20.0,1.0,157.0,271.0,BAL,BUF,35,10,True,1
2024_04_BUF_BAL,23.0,34.0,3.0,182.0,81.0,BAL,BUF,35,10,False,0
2024_04_CIN_CAR,29.0,41.0,0.0,220.0,155.0,CAR,CIN,24,34,True,0
2024_04_CIN_CAR,31.0,31.0,0.0,232.0,141.0,CAR,CIN,24,34,False,1
2024_04_CLE_LV,22.0,35.0,3.0,176.0,92.0,LV,CLE,20,16,False,0
2024_04_CLE_LV,29.0,26.0,2.0,130.0,152.0,LV,CLE,20,16,True,1
2024_04_DAL_NYG,23.0,28.0,1.0,221.0,80.0,NYG,DAL,15,20,False,1
2024_04_DAL_NYG,24.0,41.0,1.0,281.0,26.0,NYG,DAL,15,20,True,0
2024_04_DEN_NYJ,31.0,25.0,0.0,60.0,126.0,NYJ,DEN,9,10,False,1
2024_04_DEN_NYJ,23.0,47.0,5.0,225.0,64.0,NYJ,DEN,9,10,True,0
2024_04_JAX_HOU,26.0,42.0,2.0,345.0,101.0,HOU,JAX,24,20,True,1
2024_04_JAX_HOU,24.0,34.0,1.0,169.0,158.0,HOU,JAX,24,20,False,0
2024_04_KC_LAC,26.0,32.0,3.0,245.0,101.0,LAC,KC,10,17,False,1
2024_04_KC_LAC,24.0,29.0,2.0,179.0,55.0,LAC,KC,10,17,True,0
2024_04_LA_CHI,28.0,26.0,3.0,157.0,131.0,CHI,LA,24,18,True,1
2024_04_LA_CHI,26.0,33.0,3.0,224.0,119.0,CHI,LA,24,18,False,0
2024_04_MIN_GB,19.0,56.0,1.0,389.0,86.0,GB,MIN,29,31,True,0
2024_04_MIN_GB,34.0,30.0,2.0,275.0,120.0,GB,MIN,29,31,False,1
2024_04_NE_SF,24.0,38.0,6.0,168.0,73.0,SF,NE,30,13,False,0
2024_04_NE_SF,32.0,28.0,1.0,288.0,148.0,SF,NE,30,13,True,1
2024_04_NO_ATL,15.0,36.0,1.0,238.0,88.0,ATL,NO,26,24,True,1
2024_04_NO_ATL,33.0,37.0,1.0,239.0,131.0,ATL,NO,26,24,False,0
2024_04_PHI_TB,20.0,36.0,6.0,158.0,113.0,TB,PHI,33,16,False,0
2024_04_PHI_TB,25.0,49.0,2.0,347.0,111.0,TB,PHI,33,16,True,1
2024_04_PIT_IND,32.0,32.0,2.0,239.0,133.0,IND,PIT,27,24,True,1
2024_04_PIT_IND,30.0,38.0,4.0,312.0,122.0,IND,PIT,27,24,False,0
2024_04_SEA_DET,28.0,22.0,3.0,299.0,116.0,DET,SEA,42,29,True,1
2024_04_SEA_DET,19.0,60.0,3.0,395.0,133.0,DET,SEA,42,29,False,0
2024_04_TEN_MIA,30.0,25.0,2.0,96.0,106.0,MIA,TEN,12,31,True,0
2024_04_TEN_MIA,40.0,22.0,1.0,110.0,142.0,MIA,TEN,12,31,False,1
2024_04_WAS_ARI,32.0,26.0,4.0,142.0,181.0,ARI,WAS,14,42,True,0
2024_04_WAS_ARI,37.0,31.0,0.0,233.0,216.0,ARI,WAS,14,42,False,1
2024_05_ARI_SF,27.0,31.0,1.0,195.0,169.0,SF,ARI,23,24,False,1
2024_05_ARI_SF,26.0,37.0,2.0,244.0,153.0,SF,ARI,23,24,True,0
2024_05_BAL_CIN,34.0,43.0,1.0,348.0,175.0,CIN,BAL,38,41,False,1
2024_05_BAL_CIN,24.0,42.0,3.0,392.0,71.0,CIN,BAL,38,41,True,0
2024_05_BUF_HOU,28.0,31.0,1.0,131.0,150.0,HOU,BUF,23,20,False,0
2024_05_BUF_HOU,28.0,39.0,1.0,331.0,94.0,HOU,BUF,23,20,True,1
2024_05_CAR_CHI,19.0,39.0,4.0,194.0,120.0,CHI,CAR,36,10,False,0
2024_05_CAR_CHI,39.0,31.0,1.0,304.0,128.0,CHI,CAR,36,10,True,1
2024_05_CLE_WAS,23.0,36.0,7.0,141.0,104.0,WAS,CLE,34,13,False,0
2024_05_CLE_WAS,34.0,31.0,3.0,236.0,215.0,WAS,CLE,34,13,True,1
2024_05_DAL_PIT,31.0,44.0,2.0,352.0,109.0,PIT,DAL,17,20,False,1
2024_05_DAL_PIT,26.0,31.0,3.0,150.0,92.0,PIT,DAL,17,20,True,0
2024_05_GB_LA,30.0,28.0,2.0,224.0,126.0,LA,GB,19,24,False,1
2024_05_GB_LA,29.0,48.0,3.0,260.0,134.0,LA,GB,19,24,True,0
2024_05_IND_JAX,20.0,49.0,4.0,383.0,99.0,JAX,IND,37,34,False,0
2024_05_IND_JAX,23.0,34.0,0.0,371.0,126.0,JAX,IND,37,34,True,1
2024_05_LV_DEN,28.0,30.0,3.0,206.0,109.0,DEN,LV,34,18,True,1
2024_05_LV_DEN,26.0,40.0,3.0,231.0,115.0,DEN,LV,34,18,False,0
2024_05_MIA_NE,41.0,35.0,3.0,194.0,193.0,NE,MIA,10,15,False,1
2024_05_MIA_NE,19.0,36.0,2.0,160.0,151.0,NE,MIA,10,15,True,0
2024_05_NO_KC,39.0,41.0,2.0,331.0,139.0,KC,NO,26,13,True,1
2024_05_NO_KC,15.0,36.0,1.0,182.0,46.0,KC,NO,26,13,False,0
2024_05_NYG_SEA,35.0,37.0,3.0,257.0,175.0,SEA,NYG,20,29,False,1
2024_05_NYG_SEA,11.0,47.0,7.0,284.0,102.0,SEA,NYG,20,29,True,0
2024_05_NYJ_MIN,30.0,36.0,4.0,203.0,82.0,MIN,NYJ,23,17,True,1
2024_05_NYJ_MIN,14.0,57.0,3.0,244.0,36.0,MIN,NYJ,23,17,False,0
2024_05_TB_ATL,18.0,63.0,4.0,509.0,73.0,ATL,TB,36,30,True,1
2024_05_TB_ATL,26.0,25.0,1.0,180.0,160.0,ATL,TB,36,30,False,0
2024_06_ARI_GB,23.0,32.0,0.0,214.0,89.0,GB,ARI,34,13,False,0
2024_06_ARI_GB,38.0,32.0,0.0,258.0,179.0,GB,ARI,34,13,True,1
2024_06_ATL_CAR,39.0,30.0,0.0,225.0,198.0,CAR,ATL,20,38,False,1
2024_06_ATL_CAR,24.0,38.0,0.0,221.0,114.0,CAR,ATL,20,38,True,0
2024_06_BUF_NYJ,33.0,27.0,2.0,215.0,149.0,NYJ,BUF,20,23,False,1
2024_06_BUF_NYJ,21.0,38.0,3.0,294.0,121.0,NYJ,BUF,20,23,True,0
2024_06_CIN_NYG,20.0,32.0,4.0,208.0,121.0,NYG,CIN,7,17,False,1
2024_06_CIN_NYG,31.0,43.0,2.0,205.0,119.0,NYG,CIN,7,17,True,0
2024_06_CLE_PHI,25.0,28.0,5.0,168.0,100.0,PHI,CLE,20,16,False,0
2024_06_CLE_PHI,36.0,26.0,1.0,264.0,116.0,PHI,CLE,20,16,True,1
2024_06_DET_DAL,17.0,48.0,4.0,224.0,53.0,DAL,DET,9,47,True,0
2024_06_DET_DAL,36.0,30.0,3.0,334.0,184.0,DAL,DET,9,47,False,1
2024_06_HOU_NE,28.0,34.0,2.0,192.0,192.0,NE,HOU,21,41,False,1
2024_06_HOU_NE,26.0,37.0,4.0,243.0,82.0,NE,HOU,21,41,True,0
2024_06_IND_TEN,28.0,38.0,0.0,189.0,80.0,TEN,IND,17,20,False,1
2024_06_IND_TEN,28.0,27.0,0.0,95.0,146.0,TEN,IND,17,20,True,0
2024_06_JAX_CHI,29.0,32.0,3.0,226.0,152.0,CHI,JAX,35,16,True,1
2024_06_JAX_CHI,20.0,41.0,4.0,240.0,68.0,CHI,JAX,35,16,False,0
2024_06_LAC_DEN,18.0,36.0,2.0,216.0,110.0,DEN,LAC,16,23,True,0
2024_06_LAC_DEN,38.0,37.0,3.0,237.0,128.0,DEN,LAC,16,23,False,1
2024_06_PIT_LV,19.0,42.0,1.0,227.0,57.0,LV,PIT,13,32,True,0
2024_06_PIT_LV,35.0,28.0,3.0,145.0,183.0,LV,PIT,13,32,False,1
2024_06_SF_SEA,20.0,53.0,1.0,312.0,52.0,SEA,SF,24,36,True,0
2024_06_SF_SEA,34.0,28.0,0.0,255.0,228.0,SEA,SF,24,36,False,1
2024_06_TB_NO,21.0,45.0,5.0,243.0,81.0,NO,TB,27,51,True,0
2024_06_TB_NO,35.0,38.0,1.0,325.0,277.0,NO,TB,27,51,False,1
2024_06_WAS_BAL,37.0,28.0,2.0,323.0,176.0,BAL,WAS,30,23,True,1
2024_06_WAS_BAL,18.0,38.0,3.0,269.0,52.0,BAL,WAS,30,23,False,0
2024_07_BAL_TB,30.0,24.0,2.0,281.0,244.0,TB,BAL,31,41,False,1
2024_07_BAL_TB,30.0,50.0,3.0,370.0,125.0,TB,BAL,31,41,True,0
2024_07_CAR_WAS,23.0,20.0,2.0,89.0,95.0,WAS,CAR,40,7,False,0
2024_07_CAR_WAS,37.0,26.0,1.0,211.0,213.0,WAS,CAR,40,7,True,1
2024_07_CIN_CLE,25.0,28.0,3.0,181.0,59.0,CLE,CIN,14,21,False,1
2024_07_CIN_CLE,21.0,57.0,4.0,277.0,77.0,CLE,CIN,14,21,True,0
2024_07_DEN_NO,35.0,26.0,0.0,164.0,225.0,NO,DEN,10,33,False,1
2024_07_DEN_NO,21.0,45.0,6.0,210.0,97.0,NO,DEN,10,33,True,0
2024_07_DET_MIN,27.0,29.0,4.0,280.0,144.0,MIN,DET,29,31,False,1
2024_07_DET_MIN,21.0,32.0,4.0,259.0,139.0,MIN,DET,29,31,True,0
2024_07_HOU_GB,20.0,36.0,3.0,220.0,82.0,GB,HOU,24,22,True,1
2024_07_HOU_GB,34.0,25.0,4.0,86.0,142.0,GB,HOU,24,22,False,0
2024_07_KC_SF,39.0,29.0,2.0,154.0,184.0,SF,KC,18,28,False,1
2024_07_KC_SF,24.0,33.0,1.0,212.0,101.0,SF,KC,18,28,True,0
2024_07_LAC_ARI,29.0,26.0,0.0,145.0,181.0,ARI,LAC,17,15,True,1
2024_07_LAC_ARI,22.0,42.0,3.0,349.0,59.0,ARI,LAC,17,15,False,0
2024_07_LV_LA,28.0,24.0,1.0,154.0,115.0,LA,LV,20,15,True,1
2024_07_LV_LA,29.0,46.0,2.0,206.0,122.0,LA,LV,20,15,False,0
2024_07_MIA_IND,37.0,24.0,0.0,129.0,155.0,IND,MIA,16,10,True,1
2024_07_MIA_IND,40.0,28.0,2.0,161.0,188.0,IND,MIA,16,10,False,0
2024_07_NE_JAX,39.0,21.0,0.0,193.0,171.0,JAX,NE,32,16,True,1
2024_07_NE_JAX,15.0,40.0,2.0,276.0,38.0,JAX,NE,32,16,False,0
2024_07_NYJ_PIT,15.0,41.0,1.0,276.0,54.0,PIT,NYJ,37,15,False,0
2024_07_NYJ_PIT,36.0,30.0,1.0,264.0,149.0,PIT,NYJ,37,15,True,1
2024_07_PHI_NYG,18.0,37.0,8.0,105.0,76.0,NYG,PHI,3,28,True,0
2024_07_PHI_NYG,45.0,20.0,5.0,114.0,269.0,NYG,PHI,3,28,False,1
2024_07_SEA_ATL,32.0,39.0,3.0,246.0,155.0,ATL,SEA,14,34,True,0
2024_07_SEA_ATL,26.0,30.0,1.0,242.0,103.0,ATL,SEA,14,34,False,1
2024_07_TEN_BUF,20.0,34.0,1.0,323.0,74.0,BUF,TEN,34,10,True,1
2024_07_TEN_BUF,24.0,43.0,3.0,215.0,89.0,BUF,TEN,34,10,False,0
2024_08_ARI_MIA,27.0,36.0,0.0,307.0,82.0,MIA,ARI,27,28,False,1
2024_08_ARI_MIA,25.0,39.0,1.0,234.0,150.0,MIA,ARI,27,28,True,0
2024_08_ATL_TB,29.0,31.0,2.0,276.0,129.0,TB,ATL,26,31,False,1
2024_08_ATL_TB,22.0,50.0,0.0,330.0,102.0,TB,ATL,26,31,True,0
2024_08_BAL_CLE,21.0,41.0,3.0,289.0,124.0,CLE,BAL,29,24,False,0
2024_08_BAL_CLE,23.0,44.0,2.0,334.0,80.0,CLE,BAL,29,24,True,1
2024_08_BUF_SEA,34.0,35.0,1.0,283.0,164.0,SEA,BUF,10,31,False,1
2024_08_BUF_SEA,17.0,30.0,1.0,212.0,32.0,SEA,BUF,10,31,True,0
2024_08_CAR_DEN,20.0,40.0,2.0,224.0,69.0,DEN,CAR,28,14,False,0
2024_08_CAR_DEN,32.0,41.0,2.0,315.0,102.0,DEN,CAR,28,14,True,1
2024_08_CHI_WAS,33.0,28.0,3.0,131.0,202.0,WAS,CHI,18,15,False,0
2024_08_CHI_WAS,32.0,40.0,2.0,326.0,168.0,WAS,CHI,18,15,True,1
2024_08_DAL_SF,19.0,40.0,2.0,243.0,56.0,SF,DAL,30,24,False,0
2024_08_DAL_SF,36.0,28.0,2.0,260.0,223.0,SF,DAL,30,24,True,1
2024_08_GB_JAX,39.0,28.0,1.0,252.0,170.0,JAX,GB,27,30,False,1
2024_08_GB_JAX,23.0,33.0,1.0,308.0,91.0,JAX,GB,27,30,True,0
2024_08_IND_HOU,29.0,39.0,2.0,285.0,96.0,HOU,IND,23,20,True,1
2024_08_IND_HOU,26.0,37.0,5.0,175.0,150.0,HOU,IND,23,20,False,0
2024_08_KC_LV,29.0,39.0,1.0,262.0,82.0,LV,KC,20,27,False,1
2024_08_KC_LV,21.0,35.0,5.0,209.0,33.0,LV,KC,20,27,True,0
2024_08_MIN_LA,32.0,34.0,0.0,279.0,107.0,LA,MIN,30,20,True,1
2024_08_MIN_LA,22.0,28.0,3.0,240.0,64.0,LA,MIN,30,20,False,0
2024_08_NO_LAC,29.0,35.0,3.0,279.0,122.0,LAC,NO,26,8,True,1
2024_08_NO_LAC,21.0,47.0,5.0,281.0,117.0,LAC,NO,26,8,False,0
2024_08_NYG_PIT,25.0,43.0,4.0,264.0,157.0,PIT,NYG,26,18,False,0
2024_08_NYG_PIT,31.0,32.0,4.0,278.0,167.0,PIT,NYG,26,18,True,1
2024_08_NYJ_NE,31.0,33.0,2.0,155.0,112.0,NE,NYJ,25,22,True,1
2024_08_NYJ_NE,28.0,30.0,1.0,233.0,112.0,NE,NYJ,25,22,False,0
